,0,1,2,3,4,5,6,7
0,s,s,s,s,s,s,s,s
1,D,u,s,s,u,s,s,s
2,D,u,s,s,u,s,s,s
3,D,u,s,s,u,s,s,s
4,D,u,s,s,u,s,s,s
5,D,s,s,s,s,u,s,s
6,D,s,u,d,s,u,s,s
7,D,s,u,d,s,u,s,s
8,D,s,u,d,s,u,s,s
9,d,d,u,d,s,u,s,s
10,s,D,u,d,s,u,s,s
11,s,D,U,u,D,u,s,s
12,u,D,U,u,D,u,s,s
13,u,D,u,U,D,u,s,s
14,U,d,d,U,D,u,s,s
15,U,d,u,s,D,u,s,s
16,U,d,u,s,D,u,s,s
17,U,s,u,d,D,u,s,s
18,U,s,s,s,D,u,s,s
19,U,u,d,s,D,u,s,s
20,U,u,s,s,D,u,s,s
21,U,s,s,s,D,u,s,s
22,U,s,U,d,D,u,s,s
23,U,d,U,d,D,u,s,s
24,U,d,u,s,D,u,s,s
25,U,s,s,s,D,u,s,s
26,U,u,d,s,D,u,s,s
27,U,u,D,U,D,u,s,s
28,U,u,d,s,D,u,s,s
29,U,u,u,d,D,u,s,s
30,U,u,D,U,D,u,s,s
31,U,d,d,d,s,u,s,s
32,U,d,s,d,u,s,s,s
33,U,D,u,d,u,s,s,s
34,U,D,U,D,U,d,s,s
35,u,D,u,d,U,D,s,s
36,s,D,s,s,U,D,s,s
37,s,D,u,d,U,D,s,s
38,d,d,s,s,U,D,s,s
39,d,d,s,s,U,D,s,s
40,D,d,s,s,U,D,s,s
41,D,d,u,d,U,d,s,s
42,D,s,s,s,U,D,s,s
43,D,u,d,s,U,D,s,s
44,D,u,d,s,U,D,s,s
45,D,u,s,d,U,D,s,s
46,D,u,s,d,U,d,s,s
47,D,u,d,s,U,d,s,s
48,D,u,s,d,U,d,s,s
49,D,u,s,d,U,d,s,s
50,D,u,s,d,U,d,s,s
51,D,u,d,s,U,d,s,s
52,D,u,d,s,U,d,s,s
53,D,u,d,s,U,d,s,s
54,D,u,d,s,U,d,s,s
55,D,u,d,s,U,d,s,s
56,D,u,d,s,U,d,s,s
