,0,1,2,3,4,5,6,7
0,s,s,s,s,s,s,s,s
1,D,U,d,s,u,u,s,s
2,D,U,d,s,u,u,s,s
3,D,U,d,s,u,u,s,s
4,D,U,d,s,u,D,U,s
5,D,U,d,s,u,D,U,s
6,D,U,d,s,s,d,U,s
7,D,U,d,s,s,d,U,s
8,D,U,d,s,d,s,U,s
9,D,U,d,s,d,s,U,s
10,D,U,d,s,d,s,U,s
11,D,U,s,d,d,s,U,s
12,D,U,s,d,d,s,U,s
13,D,U,s,d,d,s,U,s
14,D,u,s,d,d,s,U,s
15,D,s,U,D,d,s,U,s
16,D,d,U,D,d,U,D,s
17,D,D,U,U,D,U,s,s
18,D,D,U,U,D,U,s,s
19,d,D,U,U,D,U,s,s
20,d,D,U,U,D,s,U,s
21,s,D,U,U,D,s,U,s
22,u,D,U,D,d,s,U,s
23,U,D,U,D,d,s,U,s
24,U,D,U,D,d,s,U,s
25,U,D,U,D,d,s,U,s
26,U,D,U,D,d,s,U,s
27,U,D,U,D,d,s,U,s
28,U,D,u,D,d,s,U,s
29,U,d,s,D,d,s,U,s
30,U,d,s,D,d,s,U,s
31,U,D,u,D,d,s,U,s
32,U,D,u,D,s,d,s,s
33,U,d,u,D,U,D,s,s
34,U,d,u,D,U,D,s,s
35,U,d,u,D,U,s,D,s
36,U,d,d,s,U,s,D,s
37,U,s,D,u,U,s,D,s
38,u,d,D,u,U,s,D,s
39,u,d,s,d,U,s,D,s
40,s,s,D,u,U,s,D,s
41,s,s,d,s,U,s,D,s
42,d,u,D,u,U,s,D,s
43,d,u,D,u,U,s,D,s
44,D,U,D,u,U,s,D,s
45,D,U,D,u,U,s,D,s
46,d,U,D,u,U,s,D,s
47,D,U,D,u,U,s,D,s
48,D,U,D,u,U,s,D,s
49,D,U,d,s,U,s,D,s
50,D,U,D,u,U,s,D,s
51,D,U,D,u,U,s,D,s
52,D,U,D,u,U,s,D,s
53,D,U,D,u,U,s,D,s
54,D,U,D,u,U,s,D,s
55,D,U,D,u,U,s,D,s
56,D,U,D,u,U,s,D,s
