,0,1,2,3,4,5,6,7
0,s,s,s,s,s,s,s,s
1,D,U,d,s,u,D,U,s
2,D,U,d,s,u,D,U,s
3,D,U,d,s,u,D,U,s
4,D,U,d,s,u,D,U,s
5,D,U,d,s,u,D,U,s
6,D,U,d,s,u,D,U,s
7,D,U,d,s,u,D,U,s
8,D,U,d,s,s,u,u,s
9,D,u,d,s,s,u,u,s
10,D,s,u,s,s,u,u,s
11,D,d,u,s,s,u,u,s
12,d,D,U,s,s,u,u,s
13,d,D,U,s,s,u,u,s
14,s,D,U,s,d,U,u,s
15,U,D,U,U,D,U,u,s
16,U,D,U,U,D,U,u,s
17,U,D,U,U,D,U,u,s
18,U,D,U,U,D,U,u,s
19,U,D,u,U,D,U,u,s
20,U,D,u,U,D,U,u,s
21,U,D,u,U,D,U,u,s
22,U,D,s,U,D,U,u,s
23,U,D,s,U,D,U,u,s
24,U,D,u,U,D,U,u,s
25,U,D,u,D,d,U,u,s
26,U,D,d,s,d,U,u,s
27,U,D,u,D,d,U,u,s
28,U,s,U,D,d,U,u,s
29,U,u,U,D,d,U,u,s
30,U,d,U,D,d,U,u,s
31,U,d,s,d,d,U,u,s
32,U,d,s,d,s,u,u,s
33,U,D,u,d,s,u,u,s
34,U,D,u,s,U,d,u,s
35,U,D,u,s,U,d,u,s
36,u,D,s,u,U,d,u,s
37,s,D,s,u,U,d,D,s
38,d,d,d,u,U,d,D,s
39,d,s,u,d,U,d,D,s
40,d,u,d,d,U,d,D,s
41,D,u,d,s,U,d,D,s
42,D,u,d,s,U,d,D,s
43,D,U,D,s,U,d,D,s
44,D,U,D,s,U,d,D,s
45,D,U,d,d,U,d,D,s
46,D,U,d,d,U,d,D,s
47,D,U,d,d,U,d,D,s
48,D,U,D,s,U,d,D,s
49,D,U,D,s,U,d,D,s
50,D,U,D,s,U,d,D,s
51,D,U,D,s,U,d,D,s
52,D,U,D,s,U,d,D,s
53,D,U,D,s,U,d,D,s
54,D,U,D,s,U,d,D,s
55,D,U,D,s,U,d,D,s
56,D,U,D,s,U,d,D,s
