,0,1,2,3,4,5,6,7
0,s,s,s,s,s,s,s,s
1,D,u,u,d,U,D,U,s
2,D,u,u,d,U,D,U,s
3,D,u,u,d,U,D,U,s
4,D,u,u,d,U,D,U,s
5,D,u,u,d,U,D,U,s
6,D,u,u,d,U,D,U,s
7,D,u,u,d,d,d,U,s
8,D,U,u,d,D,s,s,s
9,D,u,u,d,D,s,s,s
10,D,u,u,d,D,s,s,s
11,D,u,u,d,D,s,s,s
12,d,s,d,U,D,s,s,s
13,s,D,u,U,D,s,s,s
14,U,D,u,U,D,s,s,s
15,U,D,U,U,D,s,s,s
16,U,D,U,U,D,s,s,s
17,U,D,U,U,D,s,s,s
18,U,D,U,d,D,s,s,s
19,U,D,U,D,D,s,s,s
20,U,D,U,d,D,s,s,s
21,U,D,U,d,D,s,s,s
22,U,D,U,D,D,s,s,s
23,U,D,U,D,D,s,s,s
24,U,D,U,D,D,s,s,s
25,U,u,d,D,D,s,s,s
26,U,u,d,D,D,s,s,s
27,U,u,D,d,D,s,s,s
28,U,u,D,d,D,s,s,s
29,u,u,D,d,D,s,s,s
30,s,u,D,U,d,d,s,s
31,d,u,D,d,U,D,s,s
32,d,u,D,d,U,D,s,s
33,d,u,s,d,U,d,u,s
34,d,u,D,U,U,u,d,s
35,d,s,u,d,U,u,d,s
36,D,u,u,d,U,u,u,s
37,D,u,u,d,U,u,u,s
38,D,u,D,U,U,u,u,s
39,D,u,D,U,U,u,u,s
40,D,u,D,U,U,u,u,s
41,D,U,D,U,U,u,d,s
42,D,U,D,U,U,u,d,s
43,D,U,D,U,U,u,d,s
44,D,U,D,U,U,u,d,s
45,D,U,u,d,U,u,d,s
46,D,U,u,d,U,u,d,s
47,D,U,u,d,U,u,d,s
48,D,U,u,d,U,u,d,s
49,D,U,u,d,U,u,d,s
50,D,U,D,U,U,u,d,s
51,D,U,D,U,U,u,d,s
52,D,U,D,U,U,u,d,s
53,D,U,D,U,U,u,d,s
54,D,U,D,U,U,u,d,s
55,D,U,D,U,U,u,d,s
56,D,U,D,U,U,u,d,s
