,0,1,2,3,4,5,6,7
0,s,s,s,s,s,s,s,s
1,D,U,D,U,U,s,D,s
2,D,U,D,U,U,s,D,s
3,D,U,D,U,u,u,D,s
4,D,U,D,U,s,d,U,s
5,D,U,D,u,D,u,D,s
6,D,U,D,u,D,u,U,s
7,D,U,D,u,D,u,U,s
8,D,U,d,d,D,u,U,s
9,D,U,s,d,D,u,U,s
10,D,u,u,d,D,u,U,s
11,d,d,u,d,D,u,U,s
12,u,D,U,d,D,u,U,s
13,U,D,U,d,D,u,U,s
14,U,D,s,u,D,u,U,s
15,U,D,U,D,D,u,U,s
16,U,D,U,d,D,u,U,s
17,U,D,U,D,D,u,U,s
18,U,d,U,D,D,u,U,s
19,U,D,U,d,D,u,U,s
20,U,D,U,d,D,u,U,s
21,U,D,U,d,D,u,U,s
22,U,D,U,d,D,u,U,s
23,U,D,U,d,D,u,U,s
24,U,D,U,D,D,u,U,s
25,U,D,U,D,D,u,U,s
26,U,D,U,D,D,u,U,s
27,U,D,U,D,D,u,U,s
28,U,D,U,D,D,u,U,s
29,U,D,U,D,D,u,U,s
30,U,D,U,D,D,u,U,s
31,U,D,U,D,D,u,U,s
32,U,D,U,D,D,u,U,s
33,U,D,U,D,D,u,U,s
34,U,D,U,D,D,u,D,s
35,U,D,U,d,u,D,s,s
36,U,D,U,d,U,D,s,s
37,U,D,s,u,U,D,D,s
38,U,D,d,u,U,D,D,s
39,u,d,d,u,U,D,D,s
40,u,d,D,U,U,s,D,s
41,s,s,D,u,U,s,D,s
42,d,u,D,U,U,s,D,s
43,d,U,D,U,U,s,D,s
44,D,U,D,u,U,s,D,s
45,D,U,D,u,U,s,D,s
46,D,U,D,u,U,s,D,s
47,D,U,D,u,U,s,D,s
48,D,U,D,d,U,s,D,s
49,D,U,D,d,U,s,D,s
50,D,U,D,u,U,s,D,s
51,D,U,D,u,U,s,D,s
52,D,U,D,u,U,s,D,s
53,D,U,D,u,U,s,D,s
54,D,U,D,u,U,s,D,s
55,D,U,D,u,U,s,D,s
56,D,U,D,U,U,s,D,s
